#N =          J1         KA         KC         J2          E
  709         18         11          7          3   6804.134
  710         11          1         11          9   6808.936
  711         24          2         22          1   6818.792
  712         20          7         13          3   6821.049
  713         19          5         15          5   6822.654
  714         22          3         19          3   6825.147
  715          9          4          6          9   6830.049
  716         17          9          9          5   6845.642
  717         20         10         10          1   6846.056
  718         21          8         14          1   6851.341
  719         22          5         17          1   6867.641
  720         12         10          2          7   6876.182
  721         25          2         24          1   6877.544
  722         18          7         11          5   6878.355
  723         26          0         26          1   6890.390
  724         13          9          5          7   6897.006
  725         16          3         13          7   6912.783
  726         11         11          1          7   6914.723
  727          8          6          2          9   6918.865
  728         17         14          4          1   6922.589
  729          7          7          1          9   6927.862
  730         10          2          8          9   6928.199
  731         23          3         21          3   6932.503
  732         15          6         10          7   6934.395
  733         18         13          5          1   6939.529
  734         19         10         10          3   6955.374
  735         21          6         16          3   6958.551
  736         16         15          1          1   6964.926
  737          9          5          5          9   6970.355
  738         20          8         12          3   6971.414
  739         14          8          6          7   6980.293
  740         20          3         17          5   6983.464
  741         24          1         23          3   6992.536
  742         25          1         25          3   7006.600
  743         15         12          4          5   7007.197
  744         11          2         10          9   7011.235
  745         19         12          8          1   7017.560
  746         17          3         15          7   7030.453
  747         10          3          7          9   7034.315
  748         14         13          1          5   7034.809
  749         16         11          5          5   7039.279
  750         12          0         12          9   7041.486
  751         18          8         10          5   7055.875
  752         19          6         14          5   7072.686
  753         23          5         19          1   7074.275
  754         21          3         19          5   7093.849
  755         21          9         13          1   7097.257
  756         18          1         17          7   7098.448
  757         17         13          5          3   7108.218
  758         10          4          6          9   7114.253
  759         16         14          2          3   7117.383
  760         19          1         19          7   7119.873
  761          8          7          1          9   7122.303
  762         16          4         12          7   7124.408
  763         15          7          9          7   7129.044
  764         17         10          8          5   7133.538
  765         22          6         16          1   7138.049
  766          9          6          4          9   7139.489
  767         22          1         21          5   7156.475
  768         18         12          6          3   7159.273
  769         20         11          9          1   7159.755
  770         22          4         18          3   7166.169
  771         23          1         23          5   7172.980
  772         20          9         11          3   7183.315
  773         15         15          1          3   7185.239
  774         11          3          9          9   7187.640
  775         13         10          4          7   7193.210
  776         12         11          1          7   7206.035
  777         21          7         15          3   7218.847
  778         10          5          5          9   7224.821
  779         24          3         21          1   7227.675
  780         14          9          5          7   7240.752
  781         12          1         11          9   7263.549
  782         19         11          9          3   7273.072
  783         16          5         11          7   7282.074
  784         20          4         16          5   7283.393
  785         13          1         13          9   7292.594
  786         18          9          9          5   7295.348
  787         17          4         14          7   7298.860
  788         19          7         13          5   7299.397
  789         23          4         20          3   7321.420
  790         25          3         23          1   7332.156
  791          9          7          3          9   7341.744
  792         11          4          8          9   7341.863
  793         22          7         15          1   7347.793
